18:04:43: CPU=98.6%, RAM=17Gi/62Gi, Load=8.92
18:05:13: CPU=84.0%, RAM=14Gi/62Gi, Load=10.55
18:05:44: CPU=99.1%, RAM=14Gi/62Gi, Load=10.08
18:06:15: CPU=99.1%, RAM=11Gi/62Gi, Load=5.88
18:06:46: CPU=99.1%, RAM=12Gi/62Gi, Load=8.00
18:07:17: CPU=24.0%, RAM=14Gi/62Gi, Load=6.09
18:07:48: CPU=99.5%, RAM=13Gi/62Gi, Load=7.49
18:08:18: CPU=99.1%, RAM=10Gi/62Gi, Load=5.97
18:08:49: CPU=98.7%, RAM=10Gi/62Gi, Load=7.13
18:09:20: CPU=99.1%, RAM=10Gi/62Gi, Load=10.43
18:09:50: CPU=99.1%, RAM=10Gi/62Gi, Load=12.82
18:10:21: CPU=99.1%, RAM=10Gi/62Gi, Load=13.76
18:10:52: CPU=98.3%, RAM=10Gi/62Gi, Load=13.82
18:11:23: CPU=98.6%, RAM=10Gi/62Gi, Load=13.20
18:11:54: CPU=2.5%, RAM=11Gi/62Gi, Load=12.85
18:12:24: CPU=99.1%, RAM=11Gi/62Gi, Load=13.75
18:12:55: CPU=99.0%, RAM=11Gi/62Gi, Load=14.61
18:13:26: CPU=99.2%, RAM=11Gi/62Gi, Load=14.95
18:13:57: CPU=28.7%, RAM=11Gi/62Gi, Load=15.37
18:14:28: CPU=98.6%, RAM=12Gi/62Gi, Load=13.12
18:14:59: CPU=99.1%, RAM=12Gi/62Gi, Load=14.02
18:15:30: CPU=99.5%, RAM=12Gi/62Gi, Load=14.82
18:16:00: CPU=98.7%, RAM=13Gi/62Gi, Load=14.02
18:16:31: CPU=97.6%, RAM=13Gi/62Gi, Load=12.71
18:17:02: CPU=99.6%, RAM=13Gi/62Gi, Load=13.21
18:17:33: CPU=99.5%, RAM=13Gi/62Gi, Load=14.11
18:18:04: CPU=6.4%, RAM=13Gi/62Gi, Load=12.36
18:18:34: CPU=98.6%, RAM=14Gi/62Gi, Load=9.55
18:19:05: CPU=4.7%, RAM=11Gi/62Gi, Load=7.80
18:19:35: CPU=98.5%, RAM=12Gi/62Gi, Load=10.10
18:20:06: CPU=97.6%, RAM=13Gi/62Gi, Load=11.39
18:20:37: CPU=98.6%, RAM=13Gi/62Gi, Load=13.10
18:21:08: CPU=5.4%, RAM=18Gi/62Gi, Load=10.81
18:21:38: CPU=98.1%, RAM=23Gi/62Gi, Load=10.38
18:22:09: CPU=98.6%, RAM=23Gi/62Gi, Load=12.93
18:22:40: CPU=6.7%, RAM=23Gi/62Gi, Load=13.40
18:23:11: CPU=91.1%, RAM=25Gi/62Gi, Load=13.63
18:23:41: CPU=96.2%, RAM=28Gi/62Gi, Load=13.33
18:24:12: CPU=94.8%, RAM=28Gi/62Gi, Load=14.13
18:24:43: CPU=97.2%, RAM=28Gi/62Gi, Load=14.82
18:25:14: CPU=97.7%, RAM=29Gi/62Gi, Load=12.24
18:25:44: CPU=96.7%, RAM=29Gi/62Gi, Load=12.51
18:26:15: CPU=98.2%, RAM=29Gi/62Gi, Load=13.63
18:26:47: CPU=97.8%, RAM=29Gi/62Gi, Load=13.35
18:27:17: CPU=97.1%, RAM=28Gi/62Gi, Load=14.18
18:27:48: CPU=99.1%, RAM=28Gi/62Gi, Load=13.40
18:28:19: CPU=97.2%, RAM=28Gi/62Gi, Load=14.21
18:28:50: CPU=99.0%, RAM=28Gi/62Gi, Load=13.40
18:29:21: CPU=99.1%, RAM=28Gi/62Gi, Load=14.25
18:29:52: CPU=99.1%, RAM=28Gi/62Gi, Load=14.62
18:30:23: CPU=51.2%, RAM=28Gi/62Gi, Load=14.43
18:30:53: CPU=98.6%, RAM=28Gi/62Gi, Load=13.77
18:31:24: CPU=10.0%, RAM=28Gi/62Gi, Load=12.43
18:31:54: CPU=98.4%, RAM=28Gi/62Gi, Load=12.11
18:32:25: CPU=98.9%, RAM=28Gi/62Gi, Load=13.53
18:32:55: CPU=98.6%, RAM=28Gi/62Gi, Load=12.95
18:33:26: CPU=86.4%, RAM=29Gi/62Gi, Load=13.95
18:33:57: CPU=89.7%, RAM=29Gi/62Gi, Load=13.76
18:34:28: CPU=99.5%, RAM=29Gi/62Gi, Load=12.99
18:34:59: CPU=5.0%, RAM=10Gi/62Gi, Load=9.55
18:35:30: CPU=96.0%, RAM=15Gi/62Gi, Load=8.93
18:36:01: CPU=96.3%, RAM=16Gi/62Gi, Load=8.57
18:36:32: CPU=97.3%, RAM=17Gi/62Gi, Load=11.34
18:37:02: CPU=99.1%, RAM=17Gi/62Gi, Load=11.68
18:37:33: CPU=97.3%, RAM=18Gi/62Gi, Load=11.62
18:38:04: CPU=98.1%, RAM=18Gi/62Gi, Load=10.68
18:38:35: CPU=98.6%, RAM=19Gi/62Gi, Load=10.76
18:39:06: CPU=97.5%, RAM=19Gi/62Gi, Load=12.00
18:39:37: CPU=98.6%, RAM=25Gi/62Gi, Load=11.50
18:40:08: CPU=99.1%, RAM=25Gi/62Gi, Load=13.73
18:40:39: CPU=94.0%, RAM=25Gi/62Gi, Load=13.95
18:41:10: CPU=99.1%, RAM=21Gi/62Gi, Load=13.22
18:41:41: CPU=80.0%, RAM=25Gi/62Gi, Load=10.94
18:42:12: CPU=99.1%, RAM=26Gi/62Gi, Load=12.13
18:42:43: CPU=98.6%, RAM=26Gi/62Gi, Load=12.90
18:43:14: CPU=7.8%, RAM=22Gi/62Gi, Load=13.47
18:43:44: CPU=18.8%, RAM=23Gi/62Gi, Load=10.42
18:44:15: CPU=80.2%, RAM=9Gi/62Gi, Load=7.41
18:44:45: CPU=99.2%, RAM=12Gi/62Gi, Load=9.30
18:45:16: CPU=98.7%, RAM=12Gi/62Gi, Load=10.18
18:45:47: CPU=99.0%, RAM=12Gi/62Gi, Load=8.15
18:46:18: CPU=97.6%, RAM=14Gi/62Gi, Load=9.58
